dataset,arch,lr,latent_dim,hidden_dim,params,best_val_loss,auroc,best_epoch,total_epochs,train_secs,score,artifact_path
nab-machine,shallow,0.001,4,32,4484,0.0005947781828581356,0.980120,264,270,22.685449429,0.5499,artifacts/nab_machine_shallow_ld4_hd32_lr1e-3
nab-machine,shallow,0.001,4,64,8900,0.0005448668744065799,0.988972,266,272,22.878499876,0.7273,artifacts/nab_machine_shallow_ld4_hd64_lr1e-3
nab-machine,shallow,0.001,4,128,17732,0.010144433879759163,0.999995,1,7,0.644556437,0.7380,artifacts/nab_machine_shallow_ld4_hd128_lr1e-3
nab-machine,shallow,0.001,8,32,4744,0.0006386879722413141,0.973173,272,278,23.123155763,0.3923,artifacts/nab_machine_shallow_ld8_hd32_lr1e-3
nab-machine,shallow,0.001,8,64,9416,0.0007899297124822624,0.990478,129,135,11.260260465,0.7536,artifacts/nab_machine_shallow_ld8_hd64_lr1e-3
nab-machine,shallow,0.001,8,128,18760,0.008284219482447952,0.998616,29,35,2.857802464,0.7395,artifacts/nab_machine_shallow_ld8_hd128_lr1e-3
nab-machine,shallow,0.001,16,32,5264,0.0005257688753772527,0.996768,339,345,29.185871837,0.9198,artifacts/nab_machine_shallow_ld16_hd32_lr1e-3
nab-machine,shallow,0.001,16,64,10448,0.005834702518768609,0.986899,61,67,5.726175635,0.5671,artifacts/nab_machine_shallow_ld16_hd64_lr1e-3
nab-machine,shallow,0.001,16,128,20816,0.010092893906403333,1.000000,1,7,0.61395135,0.7241,artifacts/nab_machine_shallow_ld16_hd128_lr1e-3
nab-machine,shallow,0.0005,4,32,4484,0.0009054876209120266,0.995206,220,226,18.674082493,0.8810,artifacts/nab_machine_shallow_ld4_hd32_lr5e-4
nab-machine,shallow,0.0005,4,64,8900,0.0007215449622890446,0.988850,232,238,20.035213241,0.7210,artifacts/nab_machine_shallow_ld4_hd64_lr5e-4
nab-machine,shallow,0.0005,4,128,17732,0.0005697549931937829,0.989324,282,288,24.059777572,0.6917,artifacts/nab_machine_shallow_ld4_hd128_lr5e-4
nab-machine,shallow,0.0005,8,32,4744,0.0008092479547485709,0.992340,399,400,33.479030432,0.8176,artifacts/nab_machine_shallow_ld8_hd32_lr5e-4
nab-machine,shallow,0.0005,8,64,9416,0.000650445967039559,0.995337,248,254,21.182307778,0.8651,artifacts/nab_machine_shallow_ld8_hd64_lr5e-4
nab-machine,shallow,0.0005,8,128,18760,0.00045256413795868866,0.981303,289,295,24.766892947,0.5096,artifacts/nab_machine_shallow_ld8_hd128_lr5e-4
nab-machine,shallow,0.0005,16,32,5264,0.0008393920033995528,0.987274,212,218,18.079164288,0.7011,artifacts/nab_machine_shallow_ld16_hd32_lr5e-4
nab-machine,shallow,0.0005,16,64,10448,0.004152046341914684,0.998640,76,82,6.884812773,0.8635,artifacts/nab_machine_shallow_ld16_hd64_lr5e-4
nab-machine,shallow,0.0005,16,128,20816,0.0003203308933734661,0.994132,307,313,26.256207359,0.7892,artifacts/nab_machine_shallow_ld16_hd128_lr5e-4
nab-machine,shallow,0.0001,4,32,4484,0.0049851302755996585,0.992340,399,400,33.519989594,0.7349,artifacts/nab_machine_shallow_ld4_hd32_lr1e-4
nab-machine,shallow,0.0001,4,64,8900,0.002611221731058322,0.988465,399,400,33.498449082,0.6745,artifacts/nab_machine_shallow_ld4_hd64_lr1e-4
nab-machine,shallow,0.0001,4,128,17732,0.0018499977886676788,0.983634,399,400,33.320373441,0.5387,artifacts/nab_machine_shallow_ld4_hd128_lr1e-4
nab-machine,shallow,0.0001,8,32,4744,0.007027187064522877,0.999995,399,400,33.256696804,0.8639,artifacts/nab_machine_shallow_ld8_hd32_lr1e-4
nab-machine,shallow,0.0001,8,64,9416,0.003791050155996345,0.988076,399,400,34.24386691,0.6395,artifacts/nab_machine_shallow_ld8_hd64_lr1e-4
nab-machine,shallow,0.0001,8,128,18760,0.002288984331244137,0.984234,399,400,34.161063459,0.5383,artifacts/nab_machine_shallow_ld8_hd128_lr1e-4
nab-machine,shallow,0.0001,16,32,5264,0.006974090909352526,0.999423,399,400,33.510318111,0.8496,artifacts/nab_machine_shallow_ld16_hd32_lr1e-4
nab-machine,shallow,0.0001,16,64,10448,0.0024212011048803106,0.984989,399,400,34.132266898,0.5930,artifacts/nab_machine_shallow_ld16_hd64_lr1e-4
nab-machine,shallow,0.0001,16,128,20816,0.0012308615478104912,0.989141,399,400,33.491789038,0.6593,artifacts/nab_machine_shallow_ld16_hd128_lr1e-4
nab-machine,deep,0.001,4,32,5412,0.005091097496915609,0.985491,66,72,7.273038479,0.5751,artifacts/nab_machine_deep_ld4_hd32_lr1e-3
nab-machine,deep,0.001,4,64,12804,0.00800271873595193,0.999451,41,47,4.68638582,0.7928,artifacts/nab_machine_deep_ld4_hd64_lr1e-3
nab-machine,deep,0.001,4,128,33732,0.011654385685687885,1.000000,0,6,0.609479825,0.6298,artifacts/nab_machine_deep_ld4_hd128_lr1e-3
nab-machine,deep,0.001,8,32,5544,0.0020223433966748416,0.982691,341,347,34.612596622,0.5735,artifacts/nab_machine_deep_ld8_hd32_lr1e-3
nab-machine,deep,0.001,8,64,13064,0.006748976942617446,0.988240,74,80,7.960601474,0.5660,artifacts/nab_machine_deep_ld8_hd64_lr1e-3
nab-machine,deep,0.001,8,128,34248,0.012762399856001139,1.000000,1,7,0.702669934,0.6050,artifacts/nab_machine_deep_ld8_hd128_lr1e-3
nab-machine,deep,0.001,16,32,5906,0.002395284282101784,0.986570,96,102,10.86018747,0.6510,artifacts/nab_machine_deep_ld16_hd32_lr1e-3
nab-machine,deep,0.001,16,64,13584,0.0019778626738116145,0.981307,399,400,41.134282829,0.5043,artifacts/nab_machine_deep_ld16_hd64_lr1e-3
nab-machine,deep,0.001,16,128,35280,0.010945279675070196,1.000000,0,6,0.649581938,0.6365,artifacts/nab_machine_deep_ld16_hd128_lr1e-3
nab-machine,deep,0.0005,4,32,5412,0.0021601019252557307,0.984464,244,250,26.474950386,0.6110,artifacts/nab_machine_deep_ld4_hd32_lr5e-4
nab-machine,deep,0.0005,4,64,12804,0.001976887753698975,0.983878,399,400,42.472242976,0.5656,artifacts/nab_machine_deep_ld4_hd64_lr5e-4
nab-machine,deep,0.0005,4,128,33732,0.0023281161920749582,0.984281,79,85,8.736562152,0.4656,artifacts/nab_machine_deep_ld4_hd128_lr5e-4
nab-machine,deep,0.0005,8,32,5544,0.002077219120110385,0.984797,272,278,29.638405917,0.6195,artifacts/nab_machine_deep_ld8_hd32_lr5e-4
nab-machine,deep,0.0005,8,64,13064,0.0059206594014540315,0.988705,55,61,6.599639123,0.5930,artifacts/nab_machine_deep_ld8_hd64_lr5e-4
nab-machine,deep,0.0005,8,128,34248,0.0061540367314592,0.987837,69,75,7.925875175,0.4658,artifacts/nab_machine_deep_ld8_hd128_lr5e-4
nab-machine,deep,0.0005,16,32,5906,0.002075102864182554,0.986673,284,290,30.224747403,0.6598,artifacts/nab_machine_deep_ld16_hd32_lr5e-4
nab-machine,deep,0.0005,16,64,13584,0.0005484449029609095,0.999475,337,343,36.051597904,0.9393,artifacts/nab_machine_deep_ld16_hd64_lr5e-4
nab-machine,deep,0.0005,16,128,35280,0.006552152393851429,0.989174,64,70,7.44494209,0.4826,artifacts/nab_machine_deep_ld16_hd128_lr5e-4
nab-machine,deep,0.0001,4,32,5412,0.005438638327177614,0.999010,399,400,43.411938502,0.8705,artifacts/nab_machine_deep_ld4_hd32_lr1e-4
nab-machine,deep,0.0001,4,64,12804,0.0023731819965178147,0.992331,399,400,43.139050547,0.7467,artifacts/nab_machine_deep_ld4_hd64_lr1e-4
nab-machine,deep,0.0001,4,128,33732,0.002172267166315578,0.987504,399,400,43.56823615,0.5408,artifacts/nab_machine_deep_ld4_hd128_lr1e-4
nab-machine,deep,0.0001,8,32,5544,0.0070346790889743716,0.999747,399,400,42.630622569,0.8543,artifacts/nab_machine_deep_ld8_hd32_lr1e-4
nab-machine,deep,0.0001,8,64,13064,0.002619768085423857,0.991768,399,400,42.971762351,0.7279,artifacts/nab_machine_deep_ld8_hd64_lr1e-4
nab-machine,deep,0.0001,8,128,34248,0.0021790423343190923,0.985468,399,400,43.739368019,0.4927,artifacts/nab_machine_deep_ld8_hd128_lr1e-4
nab-machine,deep,0.0001,16,32,5906,0.0060551531496457756,0.989807,399,400,42.802000933,0.6499,artifacts/nab_machine_deep_ld16_hd32_lr1e-4
nab-machine,deep,0.0001,16,64,13584,0.0023272737525985576,0.990708,399,400,42.960529551,0.7075,artifacts/nab_machine_deep_ld16_hd64_lr1e-4
nab-machine,deep,0.0001,16,128,35280,0.0024206737871281803,0.988808,222,228,24.530395883,0.5575,artifacts/nab_machine_deep_ld16_hd128_lr1e-4
